质量_A
t	x	y	v_{x}	v_{y}	v
8.200000000E0	5.163677462E-2	-3.627820966E-2	-1.389425796E-1	2.371255742E-1	2.748337286E-1
8.233333333E0	4.803007763E-2	-2.794572488E-2	-1.136916643E-1	3.557356044E-1	3.734616644E-1
8.266666667E0	4.405733034E-2	-1.256250270E-2	-1.398078132E-1	3.725089047E-1	3.978807720E-1
8.300000000E0	3.870955675E-2	-3.111797894E-3	-1.295069268E-1	2.717028036E-1	3.009891320E-1
8.333333333E0	3.542353522E-2	5.551017541E-3	-8.527677776E-2	2.428213388E-1	2.573603144E-1
8.366666667E0	3.302443823E-2	1.307629136E-2	-4.167842153E-2	2.049317958E-1	2.091270708E-1
8.400000000E0	3.264497378E-2	1.921313726E-2	9.451102218E-3	1.604971353E-1	1.607751653E-1
8.433333333E0	3.365451171E-2	2.377610038E-2	7.478008945E-2	1.037950899E-1	1.279276454E-1
8.466666667E0	3.763031308E-2	2.613280992E-2	1.350596883E-1	4.413732252E-2	1.420887844E-1
8.500000000E0	4.265849093E-2	2.671858855E-2	1.878455834E-1	-2.050386117E-2	1.889612964E-1
8.533333333E0	5.015335197E-2	2.476588584E-2	2.490122039E-1	-9.834366272E-2	2.677285074E-1
8.566666667E0	5.925930453E-2	2.016234437E-2	2.546218719E-1	-1.501264486E-1	2.955845872E-1
