质量_A
t	x	y	v	v_{y}	v_{x}
6.933333333E0	2.162352349E-2	-4.615360425E-2	2.402878999E-1	-1.714990148E-1	-1.683043754E-1
6.966666667E0	1.664687340E-2	-5.028228262E-2	1.538581243E-1	-9.447365449E-2	-1.214374367E-1
7.000000000E0	1.352769437E-2	-5.245184789E-2	2.773968807E-1	-2.066221271E-1	-1.850846455E-1
7.033333333E0	4.307897029E-3	-6.405709109E-2	1.008985671E-1	1.003833314E-1	-1.018369407E-2
7.066666667E0	1.284878144E-2	-4.575962580E-2	4.124613980E-1	3.397765719E-1	2.338296090E-1
7.100000000E0	1.989653763E-2	-4.140531963E-2	1.191156669E-1	-1.058645576E-2	1.186442963E-1
7.133333333E0	2.075840119E-2	-4.646538951E-2	1.303816308E-1	1.293010810E-1	1.675112298E-2
7.166666667E0	2.101327916E-2	-3.278524757E-2	3.678614386E-1	3.273885658E-1	1.677461327E-1
7.200000000E0	3.194147670E-2	-2.463948513E-2	3.611951939E-1	2.041170754E-1	2.979902475E-1
7.233333333E0	4.087929566E-2	-1.917744254E-2	2.611475327E-1	1.225330694E-1	2.306158726E-1
7.266666667E0	4.731586821E-2	-1.647061383E-2	1.672099264E-1	5.234828288E-2	1.588043348E-1
7.300000000E0	5.146625132E-2	-1.568755701E-2	8.781614559E-2	-5.606038012E-3	8.763702280E-2
7.333333333E0	5.315833640E-2	-1.684434970E-2	5.874682093E-2	-5.737712272E-2	1.261169129E-2
7.366666667E0	5.230703074E-2	-1.951269853E-2	1.197195969E-1	-1.033652309E-1	-6.040207711E-2
7.400000000E0	4.913153126E-2	-2.373536509E-2	1.911412837E-1	-1.460787039E-1	-1.232720674E-1
7.433333333E0	4.408889291E-2	-2.925127879E-2	2.608164843E-1	-1.807113972E-1	-1.880654923E-1
7.466666667E0	3.659383177E-2	-3.578279157E-2	3.658173880E-1	-2.107311699E-1	-2.990229681E-1
7.500000000E0	2.415402837E-2	-4.330002345E-2	3.557464659E-1	-1.813288220E-1	-3.060643826E-1
7.533333333E0	1.618953960E-2	-4.787137971E-2	3.024784082E-1	-1.399827248E-1	-2.681380692E-1
7.566666667E0	6.278157090E-3	-5.263220510E-2	1.841741251E-1	-1.591037733E-1	-9.276905551E-2
7.600000000E0	1.000493590E-2	-5.847829793E-2	1.401577376E-1	1.086631951E-1	8.852401613E-2
7.633333333E0	1.217975817E-2	-4.538799209E-2	1.107723638E-1	3.199020373E-2	-1.060525504E-1
7.666666667E0	2.934765874E-3	-5.634561768E-2	9.744653169E-2	8.617777619E-2	4.548865165E-2
7.700000000E0	1.521233494E-2	-3.964280701E-2	4.210406207E-1	3.423812361E-1	2.450516139E-1
7.733333333E0	1.927154014E-2	-3.352020194E-2	8.993573817E-2	8.980846720E-2	-4.782909092E-3
7.766666667E0	1.489347434E-2	-3.365557586E-2	1.069620682E-1	5.218977940E-2	9.336546986E-2
7.800000000E0	2.549590479E-2	-3.004088332E-2	4.511789323E-1	5.248502161E-2	4.481157791E-1
7.833333333E0	4.476785961E-2	-3.015657442E-2	4.703059226E-1	8.387152811E-2	4.627669258E-1
7.866666667E0	5.634703318E-2	-2.444944811E-2	3.120993704E-1	2.408794247E-1	1.984518071E-1
7.900000000E0	5.799798008E-2	-1.409794611E-2	4.559320206E-2	2.929615987E-2	-3.493529864E-2
7.933333333E0	5.401801327E-2	-2.249637078E-2	1.786952936E-1	-1.550903950E-1	-8.876360366E-2
7.966666667E0	5.208040650E-2	-2.443730578E-2	8.922837485E-2	-6.391029299E-2	-6.226698425E-2
8.000000000E0	4.986688099E-2	-2.675705698E-2	1.411358194E-1	-8.951071447E-2	-1.091198952E-1
8.033333333E0	4.480574683E-2	-3.040468674E-2	2.336442985E-1	-1.341737950E-1	-1.912774188E-1
8.066666667E0	3.711505307E-2	-3.570197665E-2	3.246041273E-1	-1.762597672E-1	-2.725808759E-1
8.100000000E0	2.663368843E-2	-4.215533789E-2	3.632547487E-1	-1.781813065E-1	-3.165524198E-1
8.133333333E0	1.601155842E-2	-4.758073042E-2	3.369419621E-1	-1.422920660E-1	-3.054224186E-1
8.166666667E0	6.272193861E-3	-5.164147562E-2	1.668408281E-1	-1.427892829E-1	-8.629648079E-2
8.200000000E0	1.025845970E-2	-5.710001595E-2	9.532773698E-2	-9.532715141E-2	3.341298337E-4
8.233333333E0	6.294469184E-3	-5.799661905E-2	2.962890724E-1	1.642695536E-1	-2.465820922E-1
8.266666667E0	-6.180346447E-3	-4.614871238E-2	7.348450988E-2	5.943361625E-2	4.321595135E-2
8.300000000E0	9.175532607E-3	-5.403437797E-2	1.521489965E-1	-3.473938706E-2	1.481299839E-1
8.333333333E0	3.694985811E-3	-4.846467151E-2	2.076586483E-1	1.333695237E-1	1.591687293E-1
8.366666667E0	1.978678123E-2	-4.514307639E-2	3.480984349E-1	2.245315530E-1	2.660039513E-1
8.400000000E0	2.142858256E-2	-3.349590131E-2	1.990534459E-1	1.615011045E-1	1.163600772E-1
8.433333333E0	2.754411971E-2	-3.437633609E-2	4.243438917E-1	2.364011506E-1	3.523949977E-1
8.466666667E0	4.492158241E-2	-1.773582460E-2	4.422407752E-1	2.182882020E-1	3.846130056E-1
8.500000000E0	5.318498675E-2	-1.982378929E-2	1.728182357E-1	-1.253991412E-1	1.189167691E-1
8.533333333E0	5.284936701E-2	-2.609576735E-2	1.237683569E-1	-1.135163128E-1	4.932193110E-2
8.566666667E0	5.647311549E-2	-2.739154347E-2	8.217469179E-2	-5.308581365E-2	6.272620154E-2
8.600000000E0	5.703111378E-2	-2.963482160E-2	5.861954113E-2	3.575379157E-2	-4.645338514E-2
8.633333333E0	5.337622315E-2	-2.500795737E-2	2.547204591E-1	-6.809990980E-2	-2.454483949E-1
8.666666667E0	4.066788746E-2	-3.417481558E-2	4.014559833E-1	-2.253410794E-1	-3.322473543E-1
8.700000000E0	3.122639952E-2	-4.003069600E-2	3.439951531E-1	-8.476606965E-2	-3.333877304E-1
8.733333333E0	1.844203876E-2	-3.982588689E-2	1.851755727E-1	1.910650838E-2	-1.841872256E-1
