质量_A
t	x	y	v	v_{y}	v_{x}
6.700000000E0	4.639689155E-2	-6.959329846E-3	8.739961038E-4	-8.444599950E-4	-2.252920468E-4
6.733333333E0	4.639850600E-2	-6.957248698E-3	1.408655039E-4	-1.202889378E-5	1.403509740E-4
6.766666667E0	4.640624828E-2	-6.960131773E-3	4.416433097E-4	1.801228889E-4	4.032425546E-4
6.800000000E0	4.642538883E-2	-6.945240506E-3	1.918245585E-4	1.349571797E-4	1.363202878E-4
6.833333333E0	4.641533630E-2	-6.951134627E-3	3.554794243E-4	2.033665359E-4	-2.915607538E-4
6.866666667E0	4.640595145E-2	-6.931682737E-3	3.679973256E-4	3.111595286E-4	-1.964733556E-4
6.900000000E0	4.640223807E-2	-6.930390659E-3	1.209676969E-3	-1.133380015E-3	-4.228097801E-4
6.933333333E0	4.637776413E-2	-7.007241404E-3	7.949325307E-4	-6.090366251E-4	-5.108738765E-4
6.966666667E0	4.636817981E-2	-6.970993101E-3	8.507991309E-4	8.071936227E-4	-2.688821612E-4
7.000000000E0	4.635983866E-2	-6.953428496E-3	4.090292958E-4	4.069925097E-4	4.076839309E-5
7.033333333E0	4.637089771E-2	-6.943860267E-3	7.437931398E-4	5.706170505E-4	4.771000068E-4
7.066666667E0	4.639164532E-2	-6.915387360E-3	4.713974780E-4	3.180629493E-4	3.479246219E-4
7.100000000E0	4.639409268E-2	-6.922656070E-3	2.094013655E-4	-1.494973431E-4	1.466269971E-4
7.133333333E0	4.640142046E-2	-6.925353849E-3	5.220379506E-4	-4.910502168E-4	-1.771815634E-4
7.166666667E0	4.638228058E-2	-6.955392751E-3	1.253476494E-1	-2.106484728E-2	1.235649846E-1
7.200000000E0	5.463908610E-2	-8.329677001E-3	9.730884011E-2	9.349326875E-2	2.698182837E-2
7.233333333E0	4.818106914E-2	-7.225081677E-4	1.668626149E-1	8.148844616E-2	-1.456116939E-1
7.266666667E0	4.493163984E-2	-2.897113924E-3	5.941986067E-2	-3.269270831E-2	-4.961760439E-2
7.300000000E0	4.487322884E-2	-2.902022055E-3	9.044479442E-3	7.856890835E-3	4.480164594E-3
7.333333333E0	4.523031747E-2	-2.373321201E-3	9.526983521E-3	7.927974911E-3	5.283051090E-3
7.366666667E0	4.522543225E-2	-2.373490394E-3	3.824437837E-4	-2.450225859E-4	2.936446494E-4
7.400000000E0	4.524989378E-2	-2.389656040E-3	3.361005128E-4	2.246060401E-4	2.500313609E-4
7.433333333E0	4.524210101E-2	-2.358516658E-3	7.887403288E-2	-1.426608152E-2	7.757313955E-2
